priority_rank,section,entry_type,entry_id,sport,competition,event,market_family,market_selection,line_or_alternatives,pricing_tier,odds_status,evidence_quality,confidence,thesis,counter_evidence,line_sensitivity,correlation_tags,optional_superbet_check_priority,why_useful_even_without_odds,what_odds_needed_only_for_price_stake_decision
43,TOP_PARTIALLY_PRICED_ANALYTICAL_CANDIDATES,candidate,cand_056_tennis_pegula_jessica_vs_bouzas_maneiro_jessica_2026_07_03t114000_0000_total_games,tennis,"WTA - Wimbledon, London, Great Britain, Qualifying","Pegula, Jessica vs Bouzas Maneiro, Jessica",total_games,Total games - hdp 1 :: hdp,1,PARTIALLY_PRICED_ANALYTICAL,PARTIALLY_PRICED,MEDIUM,LOW,"Use `Total games - hdp 1` as a manual Superbet search path for Pegula, Jessica vs Bouzas Maneiro, Jessica; promotion remains quote-review-only until the operator confirms the exact visible line and odds.","Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.",HIGH,tennis_pegula_jessica_vs_bouzas_maneiro_jessica_2026_07_03t114000_0000; total_games,NOT_NEEDED_NOW,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
44,TOP_PARTIALLY_PRICED_ANALYTICAL_CANDIDATES,candidate,cand_064_tennis_rinderknech_arthur_vs_djokovic_novak_2026_07_03t123000_0000_total_games,tennis,"ATP - Wimbledon, London, GB, Qualifying, 1st - 2nd Round","Rinderknech, Arthur vs Djokovic, Novak",total_games,Total games - hdp 1 :: hdp,1,PARTIALLY_PRICED_ANALYTICAL,PARTIALLY_PRICED,MEDIUM,LOW,"Use `Total games - hdp 1` as a manual Superbet search path for Rinderknech, Arthur vs Djokovic, Novak; promotion remains quote-review-only until the operator confirms the exact visible line and odds.","Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.",HIGH,tennis_rinderknech_arthur_vs_djokovic_novak_2026_07_03t123000_0000; total_games,NOT_NEEDED_NOW,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
45,TOP_PARTIALLY_PRICED_ANALYTICAL_CANDIDATES,candidate,cand_060_tennis_sabalenka_aryna_vs_ostapenko_jelena_2026_07_03t141000_0000_total_games,tennis,"WTA - Wimbledon, London, Great Britain, Qualifying","Sabalenka, Aryna vs Ostapenko, Jelena",total_games,Total games - hdp 1 :: hdp,1,PARTIALLY_PRICED_ANALYTICAL,PARTIALLY_PRICED,MEDIUM,LOW,"Use `Total games - hdp 1` as a manual Superbet search path for Sabalenka, Aryna vs Ostapenko, Jelena; promotion remains quote-review-only until the operator confirms the exact visible line and odds.","Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.",HIGH,tennis_sabalenka_aryna_vs_ostapenko_jelena_2026_07_03t141000_0000; total_games,NOT_NEEDED_NOW,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
46,TOP_PARTIALLY_PRICED_ANALYTICAL_CANDIDATES,candidate,cand_040_tennis_safiullin_roman_vs_fonseca_joao_2026_07_03t100000_0000_total_games,tennis,"ATP - Wimbledon, London, GB, Qualifying, 1st - 2nd Round","Safiullin, Roman vs Fonseca, Joao",total_games,Total games - hdp 1 :: hdp,1,PARTIALLY_PRICED_ANALYTICAL,PARTIALLY_PRICED,MEDIUM,LOW,"Use `Total games - hdp 1` as a manual Superbet search path for Safiullin, Roman vs Fonseca, Joao; promotion remains quote-review-only until the operator confirms the exact visible line and odds.","Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.",HIGH,tennis_safiullin_roman_vs_fonseca_joao_2026_07_03t100000_0000; total_games,NOT_NEEDED_NOW,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
47,TOP_PARTIALLY_PRICED_ANALYTICAL_CANDIDATES,candidate,cand_054_tennis_sinner_jannik_vs_brooksby_jenson_2026_07_03t131000_0000_total_games,tennis,"ATP - Wimbledon, London, GB, Qualifying, 1st - 2nd Round","Sinner, Jannik vs Brooksby, Jenson",total_games,Total games - hdp 1 :: hdp,1,PARTIALLY_PRICED_ANALYTICAL,PARTIALLY_PRICED,MEDIUM,LOW,"Use `Total games - hdp 1` as a manual Superbet search path for Sinner, Jannik vs Brooksby, Jenson; promotion remains quote-review-only until the operator confirms the exact visible line and odds.","Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.",HIGH,tennis_sinner_jannik_vs_brooksby_jenson_2026_07_03t131000_0000; total_games,NOT_NEEDED_NOW,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
48,TOP_PARTIALLY_PRICED_ANALYTICAL_CANDIDATES,candidate,cand_062_tennis_struff_jan_lennard_vs_medvedev_daniil_2026_07_03t113000_0000_total_games,tennis,"ATP - Wimbledon, London, GB, Qualifying, 1st - 2nd Round","Struff, Jan-Lennard vs Medvedev, Daniil",total_games,Total games - hdp 1 :: hdp,1,PARTIALLY_PRICED_ANALYTICAL,PARTIALLY_PRICED,MEDIUM,LOW,"Use `Total games - hdp 1` as a manual Superbet search path for Struff, Jan-Lennard vs Medvedev, Daniil; promotion remains quote-review-only until the operator confirms the exact visible line and odds.","Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.",HIGH,tennis_struff_jan_lennard_vs_medvedev_daniil_2026_07_03t113000_0000; total_games,NOT_NEEDED_NOW,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
49,TOP_PARTIALLY_PRICED_ANALYTICAL_CANDIDATES,candidate,cand_093_valorant_g2_esports_vs_nongshim_redforce_2026_07_03t134500_0000_map_handicap,valorant,Esports World Cup,G2 Esports vs Nongshim RedForce,map_handicap,Map handicap - hdp 2 :: hdp,2,PARTIALLY_PRICED_ANALYTICAL,PARTIALLY_PRICED,MEDIUM,LOW,Use `Map handicap - hdp 2` as a manual Superbet search path for G2 Esports vs Nongshim RedForce; promotion remains quote-review-only until the operator confirms the exact visible line and odds.,"Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.",HIGH,valorant_g2_esports_vs_nongshim_redforce_2026_07_03t134500_0000; map_handicap,NOT_NEEDED_NOW,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
50,TOP_PARTIALLY_PRICED_ANALYTICAL_CANDIDATES,candidate,cand_095_valorant_mibr_los_vs_global_esports_2026_07_03t110000_0000_map_handicap,valorant,Esports World Cup,MIBR LOS vs Global Esports,map_handicap,Map handicap - MIBR LOS 1 :: MIBR LOS,1,PARTIALLY_PRICED_ANALYTICAL,PARTIALLY_PRICED,MEDIUM,LOW,Use `Map handicap - MIBR LOS 1` as a manual Superbet search path for MIBR LOS vs Global Esports; promotion remains quote-review-only until the operator confirms the exact visible line and odds.,"Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.",HIGH,valorant_mibr_los_vs_global_esports_2026_07_03t110000_0000; map_handicap,NOT_NEEDED_NOW,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
51,TOP_PARTIALLY_PRICED_ANALYTICAL_CANDIDATES,candidate,cand_097_valorant_team_heretics_vs_ag_al_international_2026_07_03t110000_0000_map_handicap,valorant,Esports World Cup,Team Heretics vs AG.AL International,map_handicap,Map handicap - Team Heretics 2 :: Team Heretics,2,PARTIALLY_PRICED_ANALYTICAL,PARTIALLY_PRICED,MEDIUM,LOW,Use `Map handicap - Team Heretics 2` as a manual Superbet search path for Team Heretics vs AG.AL International; promotion remains quote-review-only until the operator confirms the exact visible line and odds.,"Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.",HIGH,valorant_team_heretics_vs_ag_al_international_2026_07_03t110000_0000; map_handicap,NOT_NEEDED_NOW,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
52,TOP_PARTIALLY_PRICED_ANALYTICAL_CANDIDATES,candidate,cand_072_basketball_austria_vs_poland_2026_07_03t160000_0000_result,basketball,"International - FIBA World Cup, European Qualifiers, Group F",Austria vs Poland,result,Moneyline - Austria :: Austria,NO_NUMERIC_LINE_REQUIRED,PARTIALLY_PRICED_ANALYTICAL,PARTIALLY_PRICED,MEDIUM,MEDIUM,Use `Moneyline - Austria` as a manual Superbet search path for Austria vs Poland; promotion remains quote-review-only until the operator confirms the exact visible line and odds.,"Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.",LOW,basketball_austria_vs_poland_2026_07_03t160000_0000; result,MEDIUM,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
53,TOP_PARTIALLY_PRICED_ANALYTICAL_CANDIDATES,candidate,cand_076_basketball_belgium_vs_france_2026_07_03t183000_0000_result,basketball,"International - FIBA World Cup, European Qualifiers, Group G",Belgium vs France,result,Moneyline - Belgium :: Belgium,NO_NUMERIC_LINE_REQUIRED,PARTIALLY_PRICED_ANALYTICAL,PARTIALLY_PRICED,MEDIUM,MEDIUM,Use `Moneyline - Belgium` as a manual Superbet search path for Belgium vs France; promotion remains quote-review-only until the operator confirms the exact visible line and odds.,"Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.",LOW,basketball_belgium_vs_france_2026_07_03t183000_0000; result,MEDIUM,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
54,TOP_PARTIALLY_PRICED_ANALYTICAL_CANDIDATES,candidate,cand_080_basketball_canterbury_rams_vs_manawatu_jets_2026_07_03t073000_0000_result,basketball,New Zealand - NBL,Canterbury Rams vs Manawatu Jets,result,Moneyline - Canterbury Rams :: Canterbury Rams,NO_NUMERIC_LINE_REQUIRED,PARTIALLY_PRICED_ANALYTICAL,PARTIALLY_PRICED,MEDIUM,MEDIUM,Use `Moneyline - Canterbury Rams` as a manual Superbet search path for Canterbury Rams vs Manawatu Jets; promotion remains quote-review-only until the operator confirms the exact visible line and odds.,"Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.",LOW,basketball_canterbury_rams_vs_manawatu_jets_2026_07_03t073000_0000; result,MEDIUM,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
55,TOP_PARTIALLY_PRICED_ANALYTICAL_CANDIDATES,candidate,cand_084_basketball_china_vs_japan_2026_07_03t113000_0000_result,basketball,"International - FIBA World Cup, Asian & Oceanian Qualifiers, Gr. B",China vs Japan,result,Moneyline - China :: China,NO_NUMERIC_LINE_REQUIRED,PARTIALLY_PRICED_ANALYTICAL,PARTIALLY_PRICED,MEDIUM,MEDIUM,Use `Moneyline - China` as a manual Superbet search path for China vs Japan; promotion remains quote-review-only until the operator confirms the exact visible line and odds.,"Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.",LOW,basketball_china_vs_japan_2026_07_03t113000_0000; result,MEDIUM,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
56,TOP_PARTIALLY_PRICED_ANALYTICAL_CANDIDATES,candidate,cand_086_basketball_finland_vs_hungary_2026_07_03t153000_0000_result,basketball,"International - FIBA World Cup, European Qualifiers, Group G",Finland vs Hungary,result,Moneyline - Finland :: Finland,NO_NUMERIC_LINE_REQUIRED,PARTIALLY_PRICED_ANALYTICAL,PARTIALLY_PRICED,MEDIUM,MEDIUM,Use `Moneyline - Finland` as a manual Superbet search path for Finland vs Hungary; promotion remains quote-review-only until the operator confirms the exact visible line and odds.,"Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.",LOW,basketball_finland_vs_hungary_2026_07_03t153000_0000; result,MEDIUM,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
57,TOP_PARTIALLY_PRICED_ANALYTICAL_CANDIDATES,candidate,cand_070_basketball_israel_vs_germany_2026_07_03t170000_0000_result,basketball,"International - FIBA World Cup, European Qualifiers, Group E",Israel vs Germany,result,Moneyline - Israel :: Israel,NO_NUMERIC_LINE_REQUIRED,PARTIALLY_PRICED_ANALYTICAL,PARTIALLY_PRICED,MEDIUM,MEDIUM,Use `Moneyline - Israel` as a manual Superbet search path for Israel vs Germany; promotion remains quote-review-only until the operator confirms the exact visible line and odds.,"Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.",LOW,basketball_israel_vs_germany_2026_07_03t170000_0000; result,MEDIUM,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
58,TOP_PARTIALLY_PRICED_ANALYTICAL_CANDIDATES,candidate,cand_082_basketball_korea_republic_vs_chinese_taipei_2026_07_03t103000_0000_result,basketball,"International - FIBA World Cup, Asian & Oceanian Qualifiers, Gr. B",Korea Republic vs Chinese Taipei,result,Moneyline - Korea Republic :: Korea Republic,NO_NUMERIC_LINE_REQUIRED,PARTIALLY_PRICED_ANALYTICAL,PARTIALLY_PRICED,MEDIUM,MEDIUM,Use `Moneyline - Korea Republic` as a manual Superbet search path for Korea Republic vs Chinese Taipei; promotion remains quote-review-only until the operator confirms the exact visible line and odds.,"Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.",LOW,basketball_korea_republic_vs_chinese_taipei_2026_07_03t103000_0000; result,MEDIUM,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
59,TOP_PARTIALLY_PRICED_ANALYTICAL_CANDIDATES,candidate,cand_069_basketball_ny_liberty_vs_minnesota_2026_07_03t233000_0000_result,basketball,USA - WNBA,NY Liberty vs Minnesota,result,Moneyline - NY Liberty :: NY Liberty,NO_NUMERIC_LINE_REQUIRED,PARTIALLY_PRICED_ANALYTICAL,PARTIALLY_PRICED,MEDIUM,MEDIUM,Use `Moneyline - NY Liberty` as a manual Superbet search path for NY Liberty vs Minnesota; promotion remains quote-review-only until the operator confirms the exact visible line and odds.,"Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.",LOW,basketball_ny_liberty_vs_minnesota_2026_07_03t233000_0000; result,MEDIUM,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
60,TOP_PARTIALLY_PRICED_ANALYTICAL_CANDIDATES,candidate,cand_074_basketball_netherlands_vs_latvia_2026_07_03t173000_0000_result,basketball,"International - FIBA World Cup, European Qualifiers, Group F",Netherlands vs Latvia,result,Moneyline - Netherlands :: Netherlands,NO_NUMERIC_LINE_REQUIRED,PARTIALLY_PRICED_ANALYTICAL,PARTIALLY_PRICED,MEDIUM,MEDIUM,Use `Moneyline - Netherlands` as a manual Superbet search path for Netherlands vs Latvia; promotion remains quote-review-only until the operator confirms the exact visible line and odds.,"Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.",LOW,basketball_netherlands_vs_latvia_2026_07_03t173000_0000; result,MEDIUM,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
61,TOP_PARTIALLY_PRICED_ANALYTICAL_CANDIDATES,candidate,cand_103_cs2_big_vs_mibr_2026_07_03t080000_0000_result,cs2,XSE Pro League,BIG vs MIBR,result,Match winner - BIG :: BIG,NO_NUMERIC_LINE_REQUIRED,PARTIALLY_PRICED_ANALYTICAL,PARTIALLY_PRICED,MEDIUM,MEDIUM,Use `Match winner - BIG` as a manual Superbet search path for BIG vs MIBR; promotion remains quote-review-only until the operator confirms the exact visible line and odds.,"Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.",LOW,cs2_big_vs_mibr_2026_07_03t080000_0000; result,MEDIUM,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
62,TOP_PARTIALLY_PRICED_ANALYTICAL_CANDIDATES,candidate,cand_088_cs2_betboom_team_vs_team_nemesis_2026_07_03t130000_0000_result,cs2,XSE Pro League,BetBoom Team vs Team Nemesis,result,Match winner - BetBoom Team :: BetBoom Team,NO_NUMERIC_LINE_REQUIRED,PARTIALLY_PRICED_ANALYTICAL,PARTIALLY_PRICED,MEDIUM,MEDIUM,Use `Match winner - BetBoom Team` as a manual Superbet search path for BetBoom Team vs Team Nemesis; promotion remains quote-review-only until the operator confirms the exact visible line and odds.,"Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.",LOW,cs2_betboom_team_vs_team_nemesis_2026_07_03t130000_0000; result,MEDIUM,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
63,TOP_PARTIALLY_PRICED_ANALYTICAL_CANDIDATES,candidate,cand_090_cs2_faze_vs_sinners_2026_07_03t130000_0000_result,cs2,XSE Pro League,FaZe vs Sinners,result,Match winner - FaZe :: FaZe,NO_NUMERIC_LINE_REQUIRED,PARTIALLY_PRICED_ANALYTICAL,PARTIALLY_PRICED,MEDIUM,MEDIUM,Use `Match winner - FaZe` as a manual Superbet search path for FaZe vs Sinners; promotion remains quote-review-only until the operator confirms the exact visible line and odds.,"Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.",LOW,cs2_faze_vs_sinners_2026_07_03t130000_0000; result,MEDIUM,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
64,TOP_PARTIALLY_PRICED_ANALYTICAL_CANDIDATES,candidate,cand_101_cs2_parivision_vs_lynn_vision_2026_07_03t080000_0000_result,cs2,XSE Pro League,PARIVISION vs Lynn Vision,result,Match winner - PARIVISION :: PARIVISION,NO_NUMERIC_LINE_REQUIRED,PARTIALLY_PRICED_ANALYTICAL,PARTIALLY_PRICED,MEDIUM,MEDIUM,Use `Match winner - PARIVISION` as a manual Superbet search path for PARIVISION vs Lynn Vision; promotion remains quote-review-only until the operator confirms the exact visible line and odds.,"Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.",LOW,cs2_parivision_vs_lynn_vision_2026_07_03t080000_0000; result,MEDIUM,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
65,TOP_PARTIALLY_PRICED_ANALYTICAL_CANDIDATES,candidate,cand_003_football_argentina_vs_cape_verde_2026_07_03t220000_0000_result,football,International - FIFA World Cup,Argentina vs Cape Verde,result,Draw No Bet - Argentina :: Argentina,NO_NUMERIC_LINE_REQUIRED,PARTIALLY_PRICED_ANALYTICAL,PARTIALLY_PRICED,MEDIUM,MEDIUM,Use `Draw No Bet - Argentina` as a manual Superbet search path for Argentina vs Cape Verde; promotion remains quote-review-only until the operator confirms the exact visible line and odds.,"Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.",LOW,football_argentina_vs_cape_verde_2026_07_03t220000_0000; result,MEDIUM,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
66,TOP_PARTIALLY_PRICED_ANALYTICAL_CANDIDATES,candidate,cand_001_football_australia_vs_egypt_2026_07_03t180000_0000_result,football,International - FIFA World Cup,Australia vs Egypt,result,Draw No Bet - Australia :: Australia,NO_NUMERIC_LINE_REQUIRED,PARTIALLY_PRICED_ANALYTICAL,PARTIALLY_PRICED,MEDIUM,MEDIUM,Use `Draw No Bet - Australia` as a manual Superbet search path for Australia vs Egypt; promotion remains quote-review-only until the operator confirms the exact visible line and odds.,"Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.",LOW,football_australia_vs_egypt_2026_07_03t180000_0000; result,MEDIUM,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
67,TOP_PARTIALLY_PRICED_ANALYTICAL_CANDIDATES,candidate,cand_033_football_bray_wanderers_vs_athlone_town_2026_07_03t184500_0000_result,football,Ireland - First Division,Bray Wanderers vs Athlone Town,result,Draw No Bet - Bray Wanderers :: Bray Wanderers,NO_NUMERIC_LINE_REQUIRED,PARTIALLY_PRICED_ANALYTICAL,PARTIALLY_PRICED,MEDIUM,MEDIUM,Use `Draw No Bet - Bray Wanderers` as a manual Superbet search path for Bray Wanderers vs Athlone Town; promotion remains quote-review-only until the operator confirms the exact visible line and odds.,"Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.",LOW,football_bray_wanderers_vs_athlone_town_2026_07_03t184500_0000; result,MEDIUM,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
68,TOP_PARTIALLY_PRICED_ANALYTICAL_CANDIDATES,candidate,cand_023_football_comets_vs_croydon_2026_07_03t110000_0000_result,football,Australia - South Australia NPL,Comets vs Croydon,result,Draw No Bet - Comets :: Comets,NO_NUMERIC_LINE_REQUIRED,PARTIALLY_PRICED_ANALYTICAL,PARTIALLY_PRICED,MEDIUM,MEDIUM,Use `Draw No Bet - Comets` as a manual Superbet search path for Comets vs Croydon; promotion remains quote-review-only until the operator confirms the exact visible line and odds.,"Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.",LOW,football_comets_vs_croydon_2026_07_03t110000_0000; result,MEDIUM,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
69,TOP_PARTIALLY_PRICED_ANALYTICAL_CANDIDATES,candidate,cand_017_football_derry_city_vs_waterford_2026_07_03t184500_0000_result,football,Ireland - Premier Division,Derry City vs Waterford,result,Draw No Bet - Derry City :: Derry City,NO_NUMERIC_LINE_REQUIRED,PARTIALLY_PRICED_ANALYTICAL,PARTIALLY_PRICED,MEDIUM,MEDIUM,Use `Draw No Bet - Derry City` as a manual Superbet search path for Derry City vs Waterford; promotion remains quote-review-only until the operator confirms the exact visible line and odds.,"Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.",LOW,football_derry_city_vs_waterford_2026_07_03t184500_0000; result,MEDIUM,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
70,TOP_PARTIALLY_PRICED_ANALYTICAL_CANDIDATES,candidate,cand_009_football_drogheda_united_vs_bohemians_d_2026_07_03t184500_0000_result,football,Ireland - Premier Division,Drogheda United vs Bohemians D.,result,Draw No Bet - Drogheda United :: Drogheda United,NO_NUMERIC_LINE_REQUIRED,PARTIALLY_PRICED_ANALYTICAL,PARTIALLY_PRICED,MEDIUM,MEDIUM,Use `Draw No Bet - Drogheda United` as a manual Superbet search path for Drogheda United vs Bohemians D.; promotion remains quote-review-only until the operator confirms the exact visible line and odds.,"Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.",LOW,football_drogheda_united_vs_bohemians_d_2026_07_03t184500_0000; result,MEDIUM,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
71,TOP_PARTIALLY_PRICED_ANALYTICAL_CANDIDATES,candidate,cand_025_football_green_gully_vs_bentleigh_2026_07_03t093000_0000_result,football,Australia - Victoria NPL,Green Gully vs Bentleigh,result,Draw No Bet - Green Gully :: Green Gully,NO_NUMERIC_LINE_REQUIRED,PARTIALLY_PRICED_ANALYTICAL,PARTIALLY_PRICED,MEDIUM,MEDIUM,Use `Draw No Bet - Green Gully` as a manual Superbet search path for Green Gully vs Bentleigh; promotion remains quote-review-only until the operator confirms the exact visible line and odds.,"Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.",LOW,football_green_gully_vs_bentleigh_2026_07_03t093000_0000; result,MEDIUM,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
72,TOP_PARTIALLY_PRICED_ANALYTICAL_CANDIDATES,candidate,cand_019_football_hafnarfjordur_vs_stjarnan_2026_07_03t191500_0000_result,football,Iceland - Efsta deild,Hafnarfjordur vs Stjarnan,result,Draw No Bet - Hafnarfjordur :: Hafnarfjordur,NO_NUMERIC_LINE_REQUIRED,PARTIALLY_PRICED_ANALYTICAL,PARTIALLY_PRICED,MEDIUM,MEDIUM,Use `Draw No Bet - Hafnarfjordur` as a manual Superbet search path for Hafnarfjordur vs Stjarnan; promotion remains quote-review-only until the operator confirms the exact visible line and odds.,"Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.",LOW,football_hafnarfjordur_vs_stjarnan_2026_07_03t191500_0000; result,MEDIUM,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
